"Id","Category","PairId","Input","Note"
"F001","diacritics","P01","thi giữa kỳ giải tích tuần sau","canonical mid-term phrasing; collected_v4 contains both spellings"
"F002","stripped","P01","thi giua ky giai tich tuan sau","canonical mid-term phrasing; collected_v4 contains both spellings"
"F003","diacritics","P02","tuần sau thi giữa kì ktvm, chết t r","verbatim collected_v4 row + its stripped partner; slang tail retained"
"F004","stripped","P02","tuan sau thi giua ki ktvm, chet t r","verbatim collected_v4 row + its stripped partner; slang tail retained"
"F005","diacritics","P03","mai nộp bài tập về nhà môn cấu trúc dữ liệu","homework class; 'kì' vs 'kỳ' variation deliberately not normalised"
"F006","stripped","P03","mai nop bai tap ve nha mon cau truc du lieu","homework class; 'kì' vs 'kỳ' variation deliberately not normalised"
"F007","diacritics","P04","đồ án cuối kỳ môn web, nhóm 3 người","final-project class, drawn from a collected_v4 row"
"F008","stripped","P04","do an cuoi ky mon web, nhom 3 nguoi","final-project class, drawn from a collected_v4 row"
"F009","diacritics","P05","15/12 deadline cuối kỳ môn web, đồ án nhóm 3 người","verbatim collected_v4 row; carries a date the deadline extractor reads"
"F010","stripped","P05","15/12 deadline cuoi ky mon web, do an nhom 3 nguoi","verbatim collected_v4 row; carries a date the deadline extractor reads"
"F011","diacritics","P06","t4 tuần tới thi giữa kỳ xstk, ai có đề k","verbatim collected_v4 row; abbreviated weekday + abbreviated subject"
"F012","stripped","P06","t4 tuan toi thi giua ky xstk, ai co de k","verbatim collected_v4 row; abbreviated weekday + abbreviated subject"
"F013","diacritics","P07","thứ 2 thi giữa kì toán rồi mà tớ chưa ôn gì hết","long conversational form; the label sits at the front"
"F014","stripped","P07","thu 2 thi giua ki toan roi ma to chua on gi het","long conversational form; the label sits at the front"
"F015","diacritics","P08","báo cáo thực tập nộp cuối tháng này","phrasing outside the three covered classes -- exercises the fallback path"
"F016","stripped","P08","bao cao thuc tap nop cuoi thang nay","phrasing outside the three covered classes -- exercises the fallback path"
"F017","runtogether","","thigiuaky csdl tuan sau, kho v~","verbatim collected_v4 row -- run-together label + abbreviated subject"
"F018","runtogether","","baitapvenha mon toan roi rac","run-together homework label"
"F019","runtogether","","doancuoiky lap trinh web","run-together final-project label"
"F020","runtogether","","thicuoiky vatly1 t7 nay","run-together label for a class ABSENT from the real evaluation subset"
"F021","runtogether","","kiemtrathuongxuyen tieng anh mai","run-together label for the other class absent from the real subset"
"F022","runtogether","","mai thigiuakymonhoadaicuong chua on gi","run-together label fused to a run-together subject -- worst case for a whitespace-dependent tokenizer"
"F023","abbrev","","tgk giải tích tuần sau má ơi cứu","verbatim collected_v4 row -- 'tgk' = thi giua ky, plus slang"
"F024","abbrev","","tgk anh 2 t6 tuần sau nha","verbatim collected_v4 row -- abbreviation + abbreviated weekday"
"F025","abbrev","","btvn xstk han thu 5","'btvn' = bai tap ve nha, 'xstk' = xac suat thong ke"
"F026","abbrev","","dacn csdl nop tuan sau","'dacn' = do an chuyen nganh, 'csdl' = co so du lieu"
