"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"Tuần sau thi giữa kỳ môn Giải tích 1, mình lên kế hoạch ôn 2 chương mỗi ngày cho kịp.","Thi giữa kỳ Giải tích","ThiGiuaKy","4","1","high","tuần sau","relative"
"mai thi gk xác suất thống kê mà chưa ôn gì luôn 😱","Thi gk xác suất","ThiGiuaKy","4","1","high","mai","relative"
"gk tới r ae ơi 😭","Thi giữa kỳ","ThiGiuaKy","3","1","high","","none"
"thi giua ky triet thu 5 nay phong nao ta","Thi giua ky triet","ThiGiuaKy","2","1","medium","thứ 5","weekday"
"midterm môn Marketing căn bản tuần 8, cô cho ôn từ chương 1 tới 4","Midterm Marketing","ThiGiuaKy","3","1","medium","tuần 8","relative"
"kiểm tra giữa kỳ Hệ điều hành tập trung phần tiến trình với bộ nhớ nha mn","Ktra gk Hệ điều hành","ThiGiuaKy","4","1","high","","none"
"ktra gk hđh t8 ôn quản lý tiến trình","Ktra gk HĐH","ThiGiuaKy","4","1","high","tuần 8","relative"
"Thứ 3 tuần này thi giữa kỳ Kinh tế vi mô, trọng tâm chương cung cầu và độ co giãn.","Thi gk Kinh tế vi mô","ThiGiuaKy","3","1","high","thứ 3","weekday"
"gk vật lý 2 khó vcl, công thức nhiều quá học hong vô 🥵","Thi gk Vật lý 2","ThiGiuaKy","5","1","high","","none"
"thi giữa kỳ triết","Thi giữa kỳ triết","ThiGiuaKy","2","0","low","","none"
"Đợt thi giữa kỳ môn Toán rời rạc này mình thấy đề mẫu hơi khó, phải luyện thêm.","Thi gk Toán rời rạc","ThiGiuaKy","4","0","medium","","none"
"mai có bài ktra giua ky mon hoa dai cuong, lo qua troi","Ktra gk Hóa","ThiGiuaKy","3","1","high","mai","relative"
"exam giữa kỳ CSDL tuần sau, thầy nói trọng tâm chuẩn hóa với truy vấn SQL","Exam gk CSDL","ThiGiuaKy","4","1","medium","tuần sau","relative"
"thi gk mạng máy tính 🤯 mô hình OSI 7 tầng lại ra nữa á","Thi gk Mạng","ThiGiuaKy","4","1","medium","","none"
"Tuần 9 thi giữa kỳ Tiếng Anh 3, phần nghe với reading chiếm nửa số điểm.","Thi gk Tiếng Anh 3","ThiGiuaKy","3","1","medium","tuần 9","relative"
"giua ky","Giữa kỳ","ThiGiuaKy","2","0","low","","none"
"sắp thi giữa kì rồi mà đầu óc trống rỗng, ai cho xin tài liệu ôn với 🥲","Thi giữa kỳ","ThiGiuaKy","3","1","medium","","none"
"Lịch thi giữa kỳ môn Cấu trúc dữ liệu và giải thuật đã có, mình thi vào sáng thứ 7.","Thi gk CTDL","ThiGiuaKy","4","1","high","thứ 7","weekday"
"thi giữa kỳ kinh tế chính trị chủ nhật này, ôn mệt nghỉ","Thi gk KTCT","ThiGiuaKy","3","1","high","chủ nhật","weekday"
"mid-term Nguyên lý kế toán mai rồi, làm bài tập mẫu chưa xong nữa 😩","Midterm NLKT","ThiGiuaKy","3","1","high","mai","relative"
"thi gk tuần sau nha cả lớp, lớp trưởng nhắc nộp lệ phí thi","Thi giữa kỳ","ThiGiuaKy","2","1","medium","tuần sau","relative"
"Bài kiểm tra giữa kỳ Lập trình hướng đối tượng thi trên máy, code trực tiếp luôn.","Ktra gk OOP","ThiGiuaKy","4","1","high","","none"
"ôn gấp gk giải tích 2 đi mng ơi mai thi r 🔥🔥","Thi gk Giải tích 2","ThiGiuaKy","5","1","high","mai","relative"
"thi giua ky vat ly thu 4 tuan sau","Thi giua ky vat ly","ThiGiuaKy","3","1","medium","thứ 4","weekday"
"Đề cương thi giữa kỳ môn Triết học Mác Lênin có 30 câu, mình chia ra học dần.","Thi gk Triết","ThiGiuaKy","3","0","low","","none"
"gk hóa hữu cơ á trời cơ chế phản ứng nhiều kinh khủng","Thi gk Hóa hữu cơ","ThiGiuaKy","5","0","medium","","none"
"thi giữa kỳ môn Pháp luật đại cương, được mang tài liệu vô phòng nha","Thi gk Pháp luật","ThiGiuaKy","2","1","low","","none"
"sáng mai 7h thi gk Toán cao cấp, dậy sớm ôn lại bài","Thi gk Toán cao cấp","ThiGiuaKy","4","1","high","mai","relative"
"kiem tra giua ky mon xstk tuan 8 nha","Ktra gk XSTK","ThiGiuaKy","3","1","medium","tuần 8","relative"
"thi giữa kỳ rồi mà còn ham chơi quá đi 😅","Thi giữa kỳ","ThiGiuaKy","2","0","low","","none"
"Midterm môn Quản trị học vào thứ 6, cô ra đề mở nên cứ hiểu bản chất là làm được.","Midterm QTH","ThiGiuaKy","2","1","medium","thứ 6","weekday"
"thi gk an toàn thông tin, ôn phần mã hóa đối xứng với bất đối xứng","Thi gk ATTT","ThiGiuaKy","4","0","medium","","none"
"gk tiếng anh tuần sau nộp luôn bài essay nha mng","Thi gk Tiếng Anh","ThiGiuaKy","3","1","medium","tuần sau","relative"
"thi giua ky","Thi giua ky","ThiGiuaKy","2","0","low","","none"
"mai thi giữa kỳ kinh tế vĩ mô, học cả đêm luôn á 😭📚","Thi gk Kinh tế vĩ mô","ThiGiuaKy","4","1","high","mai","relative"
"Thi giữa kỳ môn Vật lý đại cương 1 vào tuần 10, đề gồm 4 bài tự luận.","Thi gk Vật lý ĐC","ThiGiuaKy","4","1","medium","tuần 10","relative"
"ktra gk triết t5 😪","Ktra gk triết","ThiGiuaKy","2","1","low","thứ 5","weekday"
"thi giữa kỳ Cơ sở dữ liệu sắp tới, lo nhất phần thiết kế ER","Thi gk CSDL","ThiGiuaKy","4","0","medium","","none"
