"InputText","TaskName","TaskType","Difficulty","DeadlineHint",Source,LabelVersion
"tgk giải tích tuần sau má ơi cứu","Thi giữa kỳ Giải tích","ThiGiuaKy","4","tuần sau",collected_v4,v4
"tuần sau thi giữa kì ktvm, chết t r","Thi giữa kỳ Kinh tế vi mô","ThiGiuaKy","5","tuần sau",collected_v4,v4
"t4 tuần tới thi giữa kỳ xstk, ai có đề k","Thi giữa kỳ XSTK","ThiGiuaKy","4","t4 tuần tới",collected_v4,v4
"mai thi giua ky ly 1 r, chua hoc chu nao","Thi giữa kỳ Lý 1","ThiGiuaKy","5","mai",collected_v4,v4
"thigiuaky csdl tuan sau, kho v~","Thi giữa kỳ CSDL","ThiGiuaKy","4","tuan sau",collected_v4,v4
"tuần sau nữa tgk mác, xỉu ngang","Thi giữa kỳ Mác","ThiGiuaKy","3","tuần sau nữa",collected_v4,v4
"25/10 thi giua ky C++, toang","Thi giữa kỳ C++","ThiGiuaKy","4","25/10",collected_v4,v4
"thứ 2 thi giua ky toan r ma t chua on gi het","Thi giữa kỳ Toán","ThiGiuaKy","5","thứ 2",collected_v4,v4
"tgk anh 2 t6 tuần sau nha","Thi giữa kỳ Anh 2","ThiGiuaKy","3","t6 tuần sau",collected_v4,v4
"tuần sau thi giữa kì quản trị, open book mà vẫn rén","Thi giữa kỳ Quản trị","ThiGiuaKy","2","tuần sau",collected_v4,v4
"t4 tuần tới thi giữa kỳ triết, học bài muốn khùng","Thi giữa kỳ Triết","ThiGiuaKy","4","t4 tuần tới",collected_v4,v4
"tgk mạng mt tuần sau, trắc nghiệm full","Thi giữa kỳ Mạng máy tính","ThiGiuaKy","3","tuần sau",collected_v4,v4
"thứ 7 thi giua ki hóa đc, cíu","Thi giữa kỳ Hóa đại cương","ThiGiuaKy","4","thứ 7",collected_v4,v4
"tuần sau thi giữa kì plđc, dễ thở","Thi giữa kỳ PLĐC","ThiGiuaKy","2","tuần sau",collected_v4,v4
"t2 tuần sau tgk oop, code giấy nha bây","Thi giữa kỳ OOP","ThiGiuaKy","5","t2 tuần sau",collected_v4,v4
"thi giua ky cnxhkh tuan sau, ai co slide k","Thi giữa kỳ CNXHKH","ThiGiuaKy","3","tuan sau",collected_v4,v4
"20/10 thi giua ky lsd nha mn","Thi giữa kỳ Lịch sử Đảng","ThiGiuaKy","3","20/10",collected_v4,v4
"tuần sau tgk kế toán tc, khó nha","Thi giữa kỳ Kế toán TC","ThiGiuaKy","4","tuần sau",collected_v4,v4
"thứ 6 thi giua ky web, toang that su","Thi giữa kỳ Web","ThiGiuaKy","3","thứ 6",collected_v4,v4
"tuần sau thi giữa kì AI, khoai vl","Thi giữa kỳ AI","ThiGiuaKy","5","tuần sau",collected_v4,v4
"23/10 tgk java, ai ôn chung k","Thi giữa kỳ Java","ThiGiuaKy","4","23/10",collected_v4,v4
"tuần sau nữa thi giữa kỳ hdh, cứu t","Thi giữa kỳ HĐH","ThiGiuaKy","5","tuần sau nữa",collected_v4,v4
"tgk python t4 tuần sau, trắc nghiệm + tự luận","Thi giữa kỳ Python","ThiGiuaKy","3","t4 tuần sau",collected_v4,v4
"t3 thi giữa kỳ csdl nâng cao, khó đin","Thi giữa kỳ CSDL NC","ThiGiuaKy","5","t3",collected_v4,v4
"tuần sau thi giữa kì attt, ôn gì giờ","Thi giữa kỳ ATTT","ThiGiuaKy","4","tuần sau",collected_v4,v4
"thi giua ky ktlt tuan sau, help","Thi giữa kỳ KTLT","ThiGiuaKy","4","tuan sau",collected_v4,v4
"tuần sau tgk marketing cb, dễ","Thi giữa kỳ Marketing CB","ThiGiuaKy","2","tuần sau",collected_v4,v4
