"VanBanGoc","TenTask","LoaiTask","DoKho"
"ê m lm bài tập đại số chưa cho t chép dzoi","Bài tập đại số","BaiTap","3"
"deadline assignment 2 là tối thứ 6 nha mn","Assignment 2","BaiTap","3"
"chết mẹ quên làm btvn r cứu 🆘","Bài tập về nhà","BaiTap","3"
"mai phai nop bt li roi dm kho vkl","Bài tập lý","BaiTap","3"
"có ai rảnh help tớ cái task excel này vs","Task excel","Khac","3"
"hôm nay cô giao tận 3 bài essay lận 😭","Làm 3 essay","Khac","3"
"toi nay thuc khuya lam not cai report","Làm report","Khac","3"
"gấp gấp ai làm xong bt lập trình chưa","Bài tập lập trình","BaiTap","5"
"ủa thứ 2 có fải nộp bài k mng","Nộp bài tập","Khac","3"
"bài hôm qua khó bá cháy đéo biết làm lun","Bài tập hôm qua","Khac","5"
"mai có test math k nhỉ","Kiểm tra ton","Khac","3"
"thứ 3 ktra 15p sử á ae","Kiểm tra sử 15p","KiemTraThuongXuyen","3"
"chieu nay kiem tra r ma h chua chu nao vao dau","Kiểm tra chiều nay","Khac","3"
"15p anh văn cô cho dễ thôi đừng lo","Kiểm tra anh 15p","Khac","2"
"tuan sau test midterm kinh te vi mo do nhe","Midterm vi mô","Khac","3"
"ktra 1 tiết sinh học phần di truyền nha","Kiểm tra sinh","KiemTraThuongXuyen","3"
"toang r mai ktra 1 tiet hóa tao chua hoc j","Kiểm tra hóa","KiemTraThuongXuyen","5"
"lát học xong ở lại test thử c++ nha","Test thử c++","Khac","3"
"thầy bảo mai có pop quiz đấy ae cẩn thận","Pop quiz","KiemTraThuongXuyen","3"
"nay làm bài ktra ngu vkl hi vọng trên trung bình","Kiểm tra hôm nay","KiemTraThuongXuyen","3"
"tuan sau thi cuoi ky roi dcm","Thi cuối kỳ","ThiCuoiKy","3"
"exam đợt này chua vãi đái ae ôn kỹ nha","Thi đợt này","ThiCuoiKy","3"
"lịch thi final ra r kìa 15 tây thi triết","Thi triết","ThiCuoiKy","3"
"mai thi toán chắc toang rồi 😭","Thi ton","ThiCuoiKy","5"
"chuẩn bị thi môn mạng máy tính thấy bảo rớt nhiều lắm","Thi mạng my tính","ThiCuoiKy","5"
"mai thi mác lenin 120 câu trắc nghiệm dã man","Thi mc-lenin","ThiCuoiKy","3"
"cuoi tuan nay thi r tao dang bi tram cam 🫠","Thi cuối tuần","ThiCuoiKy","3"
"thi qua môn là vui r k cần điểm cao","Thi qua môn","ThiCuoiKy","3"
"tháng sau là final exam r ae tập trung nha","Final exam","ThiCuoiKy","3"
"mai đi thi nhớ đem thẻ sv nha m","Thi cuối kỳ","ThiCuoiKy","3"
"mai nộp pj r mà đéo có idea j","Làm project","Khac","3"
"tối nay team mình meeting chốt idea nhé","Họp nhóm project","Khac","3"
"tuan sau phai present cai slide nay roi","Thuyết trình slide","Khac","3"
"nhóm 3 hnay nộp proposal cho cô nha","Nộp proposal","Khac","3"
"tình hình tiến độ cái đồ án tới đâu r ae","Đồ n môn học","DuAn","3"
"hôm nay tao làm phần frontend m làm backend nhé","Làm frontend","Khac","3"
"deadline project final là 23h59 chủ nhật nha","Project final","ThiCuoiKy","3"
"có ai rành edit video k phụ t cái clip bài tập này vs","Edit video project","BaiTap","3"
"dm thằng A ko làm group work tao kich nó nha","Làm group work","Khac","3"
"bao gio phai nop ban draft cho thay vay","Nộp bản draft","Khac","3"
"thấy mng bảo phần chương 3 dài lắm nên ôn sớm","Ôn chương 3","OnTap","4"
