"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"lịch thi final ra r kìa 15 tây thi triết","Thi triết","ThiCuoiKy","3","1","high","","submission"
"đọc lại tài liệu triết","Ôn tập","OnTap","3","0","low","","none"
"Mình chưa xong bài tập Phân tích mạch điện, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"kiểm tra 1 tiết hóa thứ 6 hay thứ 7 vậy mấy bạn ơi","Kiểm tra 1 tiết hóa thứ 6 hay thứ 7 vậy mấy bạn ơ","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"t d m m thj cck ak s ch hoc j m ranh the","Nhắc nhở","NhacNho","3","0","low","","none"
"Chiều mai kiểm tra Kinh tế vĩ mô, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Kinh tế vĩ mô, ai còn tài liệu ôn tập ch","KiemTraThuongXuyen","3","1","high","mai","relative"
"Thi cuối kỳ môn Lập trình C đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Lập trình C đang đến gần, mì","ThiCuoiKy","3","1","high","hôm nay","relative"
"final exam mạng máy tính vcl 🤯","Thi cuối kỳ","ThiCuoiKy","4","1","medium","mai","relative"
"Deadline đồ án Xử lý ảnh số đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"15p hay 45p v m sao tao nghe dua bao vay dua bao kia d hiểu j","Nhắc nhở","NhacNho","3","0","low","","none"
"exam cuối kỳ toán","Thi cuối kỳ","ThiCuoiKy","4","1","medium","thứ 2","weekday"
"t bt cach giai btoan nay roi de tao chi cho m hehe","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"Cô dặn làm bài tập phần đạo hàm hàm nhiều biến môn Giải tích 2 nộp thứ 4.","Bài tập","BaiTap","3","1","high","thứ 4","weekday"
"t thi cuối kỳ toán 😭 😵‍💫","Thi cuối kỳ","ThiCuoiKy","3","1","high","tháng sau","relative"
"project môn Mạng máy tính đang trễ tiến độ","Làm project","BaiTap","4","1","low","","submission"
"Thi lại môn Vật lý đại cương vào tuần sau, lần này phải qua mới được nha.","Thi lại môn Vật lý đại cương vào tuần sau, l","ThiCuoiKy","3","1","high","tuần sau","relative"
"aừng quen nộp lệ phi học Triết ae di","Nhắc nhở","NhacNho","1","0","low","","none"
"Đợt thi giữa kỳ môn Giải tích 2 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Giải tích 2 khó hơn mình dự ","ThiCuoiKy","5","1","high","","submission"
"bao cao Triết lom thuyết trenh ez","Nhắc nhở","NhacNho","2","0","low","","none"
"hôm nay tao làm phần frontend m làm backend nhé","Bài tập","BaiTap","3","1","high","hôm nay","relative"
"deadline ôn thi cuối kỳ Toán đang tới gần","Thi cuối kỳ Toán đang tới gần","ThiCuoiKy","4","1","high","","submission"
"Thầy nhắc nộp báo cáo Điều dưỡng cơ bản, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"ai làm xong assignment Cơ sở dữ liệu chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"th 3 ktra 15p sử vl 😵‍💫","Kiểm tra 15 phút","KiemTraThuongXuyen","2","1","high","tuần sau","relative"
"chết mẹ quên làm btvn r cứu 🆘","Bài tập","BaiTap","3","1","low","","submission"
"m thi chung phòng 402 vs t pk","Thi chung phòng 402 vs t pk","ThiCuoiKy","3","1","high","","submission"
"ai làm xong assignment Triết chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"Mình chưa xong bài tập Lý thuyết xác suất, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"nhớ mang theo laptop thực honh Hoa nha","Nhắc nhở","NhacNho","2","0","low","","none"
"Chiều mai kiểm tra Kỹ thuật nhiệt, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Kỹ thuật nhiệt, ai còn tài liệu ôn tập c","KiemTraThuongXuyen","3","1","high","mai","relative"
"có pro nào thông não giúp t cái đề này ko","Nhắc nhở","NhacNho","3","0","low","","none"
"dặn dò nhẹ nhàng mai mặc áo thun trắng đi thực hành nha","Nhắc nhở","NhacNho","2","1","high","mai","relative"
"chú ý lịch học bù Lập trình tuần sau","Ôn tập","OnTap","2","1","medium","tuần sau","relative"
"chú ý lịch học bù Toán tuần sau 😭","Ôn tập","OnTap","2","1","medium","tuần sau","relative"
"Thi cuối kỳ môn Phương trình vi phân đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Phương trình vi phân đang đế","ThiCuoiKy","3","1","high","hôm nay","relative"
