"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"ê m lm bài tập đại số chưa cho t chép dzoi","Bài tập","BaiTap","3","1","low","","submission"
"deadline assignment 2 là tối thứ 6 nha mn","Bài tập","BaiTap","3","1","high","thứ 6","weekday"
"chết mẹ quên làm btvn r cứu 🆘","Bài tập","BaiTap","3","1","low","","submission"
"mai phai nop bt li roi dm kho vkl","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"có ai rảnh help tớ cái task excel này vs","Nhắc nhở","NhacNho","3","0","low","","none"
"hôm nay cô giao tận 3 bài essay lận 😭","Nhắc nhở","NhacNho","3","1","high","hôm nay","relative"
"toi nay thuc khuya lam not cai report","Làm report","BaiTap","3","1","high","nay","relative"
"gấp gấp ai làm xong bt lập trình chưa","Nhắc nhở","NhacNho","5","0","low","","none"
"ủa thứ 2 có fải nộp bài k mng","Nhắc nhở","NhacNho","3","1","high","thứ 2","weekday"
"bài hôm qua khó bá cháy đéo biết làm lun","Nhắc nhở","NhacNho","5","0","low","","none"
"mai có test math k nhỉ","Kiểm tra","KiemTraThuongXuyen","3","1","high","mai","relative"
"thứ 3 ktra 15p sử á ae","Kiểm tra 15p sử á ae","KiemTraThuongXuyen","3","1","high","thứ 3","weekday"
"chieu nay kiem tra r ma h chua chu nao vao dau","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"15p anh văn cô cho dễ thôi đừng lo","Nhắc nhở","NhacNho","2","0","low","","none"
"tuan sau test midterm kinh te vi mo do nhe","Kiểm tra","KiemTraThuongXuyen","3","1","medium","tuan sau","relative"
"ktra 1 tiết sinh học phần di truyền nha","Kiểm tra 1 tiết sinh học phần di truyền nha","KiemTraThuongXuyen","3","1","high","","submission"
"toang r mai ktra 1 tiet hóa tao chua hoc j","Kiểm tra 1 tiet hóa tao chua hoc j","KiemTraThuongXuyen","3","1","high","mai","relative"
"lát học xong ở lại test thử c++ nha","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"thầy bảo mai có pop quiz đấy ae cẩn thận","Kiểm tra","KiemTraThuongXuyen","3","1","high","mai","relative"
"nay làm bài ktra ngu vkl hi vọng trên trung bình","Kiểm tra ngu vkl hi vọng trên trung bình","KiemTraThuongXuyen","3","1","high","nay","relative"
"tuan sau thi cuoi ky roi dcm","Thi cuoi ky roi dcm","ThiCuoiKy","3","1","high","tuan sau","relative"
"exam đợt này chua vãi đái ae ôn kỹ nha","Ôn tập","OnTap","3","0","low","","none"
"lịch thi final ra r kìa 15 tây thi triết","Thi triết","ThiCuoiKy","3","1","high","","submission"
"mai thi toán chắc toang rồi 😭","Thi toán chắc toang rồi 😭","ThiCuoiKy","4","1","high","mai","relative"
"chuẩn bị thi môn mạng máy tính thấy bảo rớt nhiều lắm","Thi môn mạng máy tính thấy bảo rớt nhiều lắm","ThiCuoiKy","4","1","high","","submission"
"mai thi mác lenin 120 câu trắc nghiệm dã man","Thi mác lenin 120 câu trắc nghiệm dã man","ThiCuoiKy","3","1","high","mai","relative"
"cuoi tuan nay thi r tao dang bi tram cam 🫠","Thi r tao dang bi tram cam 🫠","ThiCuoiKy","3","1","high","nay","relative"
"thi qua môn là vui r k cần điểm cao","Thi qua môn là vui r k cần điểm cao","ThiCuoiKy","3","1","high","","submission"
"tháng sau là final exam r ae tập trung nha","Kiểm tra","ThiCuoiKy","3","1","low","","submission"
"mai đi thi nhớ đem thẻ sv nha m","Thi nhớ đem thẻ sv nha m","ThiCuoiKy","3","1","high","mai","relative"
"mai nộp pj r mà đéo có idea j","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"tối nay team mình meeting chốt idea nhé","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"tuan sau phai present cai slide nay roi","Ôn tập","OnTap","3","1","high","tuan sau","relative"
"nhóm 3 hnay nộp proposal cho cô nha","Nộp proposal","BaiTap","3","1","high","nay","relative"
"tình hình tiến độ cái đồ án tới đâu r ae","Làm project","BaiTap","4","1","low","","submission"
"hôm nay tao làm phần frontend m làm backend nhé","Bài tập","BaiTap","3","1","high","hôm nay","relative"
"deadline project final là 23h59 chủ nhật nha","Kiểm tra","ThiCuoiKy","3","1","high","chủ nhật","weekday"
"có ai rành edit video k phụ t cái clip bài tập này vs","Bài tập","BaiTap","3","1","low","","submission"
"dm thằng A ko làm group work tao kich nó nha","Bài tập","BaiTap","3","1","low","","submission"
"bao gio phai nop ban draft cho thay vay","Nhắc nhở","NhacNho","3","0","low","","none"
"thấy mng bảo phần chương 3 dài lắm nên ôn sớm","Ôn tập","OnTap","2","0","low","","none"
"cuối tuần tao qua nhà m review lại bài nhe","Review bài","OnTap","3","1","medium","cuối tuần","relative"
"h rảnh k call tao chỉ cho cách giải bài hqua","Nhắc nhở","NhacNho","3","0","low","","none"
"phai doc lai tai lieu chu quen sach roi","Nhắc nhở","NhacNho","3","0","low","","none"
"ai tóm tắt dùm t cái mindmap sinh học với","Ôn tập","OnTap","3","0","low","","none"
"on tap sml tu sang toi gio chua an j","Nhắc nhở","NhacNho","3","0","low","","none"
"tối nay cày nốt 3 đề toán là đi ngủ 😪","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"đề cương triết học tận 20 trang wtf","Ôn đề cương","OnTap","3","0","low","","none"
"này tao gửi file review exam ae tham khảo nha","Review bài","OnTap","3","0","low","","none"
"thứ 7 ở nhà ôn thi nha m ko đi chơi đâu","Thi nha m ko đi chơi đâu","ThiCuoiKy","3","1","high","thứ 7","weekday"
"nhwos nosi thaafy vu kiem tra","Nhắc nhở","NhacNho","3","0","low","","none"
"thấy bảo tuần sau thầy ktra vở đấy","Kiểm tra vở đấy","KiemTraThuongXuyen","3","1","high","tuần sau","relative"
"nhớ nhắc t nộp tiền quỹ lớp trc t6 nha","Nhắc nhở","NhacNho","3","0","low","","none"
"chieu nay hoc bu tren giang duong a mn nho nhe","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"mai nghỉ nha cô ốm r 🥳","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"alo ai đi lấy áo lớp vs t ko","Nhắc nhở","NhacNho","3","0","low","","none"
"mai mang sach bai tap di dung quen do nha","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"remind ae mai nộp form đk môn tự chọn nhé","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"đừng quên mang lap đi học nha","Nhắc nhở","NhacNho","3","0","low","","none"
